class,tweet
0,queer gaywad
0,alsarabsss hes beaner smh tell hes mexican
0,youre fucking gay blacklisted hoe holding tehgodclan anyway
0,lmfaoooo hate black people theres black people niggers
0,least im nigger lmfao
0,ariza snake coward least isnt cripple like hero roach lmaoo
0,drakes new shoes released nikejordan yes theres glitter shoes dudes fag
0,gerryshalloweenpay halloween yesterday stupid nigger
0,bored supposed cute faggot sometimes
0,lassen cc coach wants feel youll get nig doubt
0,jackies retard blondeproblems least make grilled cheese
0,stacey dash 128166 baddest bitch evaaaa
0,dont worry nigga see worry nigga dont see dats da nigga fuckin yo bitch
0,hey go look video man found kidnapped girls ohiowhat nigger shitmybosssays
0,lets kill cracker babies wtf hear wow
0,grandma used call porch monkey time come think refer broken bottle nigger knife 128563
0,nah 128514128514128514128514 yo thought some1 photoshopped face faggot smmfhi hate yall
0,people time aryan race 2 stand say mongerls turn world ghetto slum 1488
0,sour apple bitter bitches im fuckin wit em
0,hate niggers hate faggots hate spicskkk rally
0,queer 2 4 6 hut like butt
0,fuck callin jiggaboo nigga
0,people think gay marriage okay beyond sorry dont want future son seeing 2 fags walking street holding hands
0,aint gunna shit spear chucker
0,ol trout mouth ass bitch deeeeaaaadd
0,ayo even kill handicapped crippled bitcheslook scalp real close youll see triple sixes
0,fuck pussy ass hater go suck dick die quick someone youtube comments think wed good friends
0,way fuck bitch name lord mr race
0,poor whitey
0,azmonsoon lot rain bad wasnt enough wash away teabagger racist white trash state tcot teapay azflooding
0,california full white trash
0,california full white trash moved oklahoma
0,dtla trash noneuropeans allowed live
0,dutch farmers white trash
0,dutch people live outside newyorkcity white trash
0,iowa full white trash
0,jesuschrist straightgt thats faggots killed period sonofgodgt
0,minnesota full white trash
0,reasonswecantbetogether u talkin nig smashed da homies
0,rebelscience using actual woman genetic engineering lab natural clones something faggot rome
0,slightlyadjusted alls niggers wanna fuck tweet drink pineapple soda day
0,somethingigetalot asian black hawaiian gay retarded drunk
0,southcarolina full white trash
0,thingsiwillteachmychild play deez niggas n bitches dat snakes
0,trayvonmain referred zimmerman creepy ass cracker racist thug
0,tweetlikepontiacholmes160 pontiac sprinkler nigga nigga nigga nigga spic spic spic spic nigga nigga nigga nigga
0,vinitahegwood get job naacp ag hear like diversity tolerance long aint cracker tcot
0,virginia full white trash
0,westvirginia full white trash
0,faggots merely scientific indicator something wronggt celebrate unique indiviuals cancergt
0,firefighter job white trash
0,milesthompson goauche wetback ca
0,128514 racist month fuck u honkey8221
0,128514 lmfao watching porn amp beating amp yo homie text u amp show name banner youre faggot
0,128514128514 fucc nicca yu pose pullin
0,128514128514128514 said tl gotta chill pretty face challenge foolishness yall hoes agg
0,128514128514128514 1st 48 charlotte goon niccas gon fkkk around burn bank america stadium down128293
0,128563 recruited buku fags here128563a warehouse place them128530
0,193lbum de fotos gaywrites making project queer students harvard highlights
0,awkward u fag wonder whos awesome tank 128522
0,u ask every bitch gay8221or bi
0,agree fuck yes send illegal wetbacks home
0,hell ya make malt liquor ads like dis heaven fo colored man
0,tea bag bitch8221 pahahaha
0,fucking white people bitch wut
0,like 58 needs to82211 hoe 2 im 510breaking11 3suck dick
0,dudes shaving without athletic purpose gay af8221 youre retarded
0,live gay cant afraid two black dicks butt fucking queer
0,love song john doe dope8221 faggots
0,got done last final im walkin around campus like place8221 queer
0,dammn weed potheads annoying af twitter8221 weed pot thing faggot
0,yall hype bread loaf chick im chill8221 dyke rapper
0,cowboys win games regular season get playoffs trash af lol8221 hating ass nigga
0,white kids favorite activities 1 calling people niggers xbox 2fucking pet 3 shooting school8221
0,shut fuck fucking trash nigga work another ring8221
0,damn got wifey 1285611285611285341285341285551285531285531285538221 fall back nigga 128299 dont share hoes
0,shoot nigga shoy bitch 1282991285148221 825265039825265039
0,phone charging backwards 1285338221 retarded
0,aint special niglet im chilling wit greg ppl walk ask take pics8221hatin
0,128514128169 lemme find niggaz letting bitches shit yo faces8221 128557 niggas weirdos
0,u regular nig u played b8221 lol ima b ig famous8221these days counts somethin
0,need thank killing niggers reward8221 dis pal graduation 26
0,hate bitch amp fact oomf likes 1285288221 retweeettt 1000x
0,127850127850127850127850127850 bitch ass nigga fuck 1280791280791280791280791280791280771280771280771280771280778221 lt hoes aint got manners realtalk
0,one friend greet insult8221 niggers
0,fleek yo vocabulary faggot8221
0,faggot8221 respect
0,u unfollowed cant dm u ill say youre rude cunt lmao8221 dm
0,want affection 247 also want left alone 247 see issue here8221fag
0,yall think ok faggots8221 want us cool
0,ampwhen say mean dyke ron wcw
0,dont sleep niggah chood 128076 128175128175
0,happppppy bihdayyyy 104119110411961043215 lol niggahs really 21 bitch 10433581041219
0,ugly ass niggah tf chuu baka anyways niggah look like
0,niggah pharrell whatever niggah name dont deserve shit white ass gay song
0,damn whitey youll get kick newest form white privilege
0,goes olive garden turns cracker goes black friday shopping turns nigger
0,gusta typing like retard make person look dumber pretending agree bazinga
0,gt ankle socks general faggots bro
0,aaaaaaaaand begins fucking niggers thats kentucky ever
0,youre white arent rolls eyes rip nigga trayvon wohless spear chucker
0,2 beer queer
0,2 hoes 1 dyke
0,4 old hoes ponk dyke outchea girl talk
0,5000 white men pick trucks screaming nigger coach got nerve get mad missed free throw 128514128514128514
0,81614 mo let 8220kill crackers kill babies new black panthers hijack ferguson presser
0,bet hes starbucks queer
0,good enough fag
0,faggot
0,live south lot pop lives rhode island hardly niggers
0,basically like background music fag
0,hate nigger
0,niggers disgust dealt 100 years ago wouldnt problems
0,retarded
0,cant wait peds roid munching faggot
0,homo ass crackers
0,fight 1 1 ur choice game faggot see happens
0,wrong nigger always causung mischief among ur people
0,totally correct anthony can8217t livin round dem colored folk day bringin da hood dem propery value
0,you8217re going 2have 2 kill crackers amp babies8221 new black panthers credibilityshot fergusonriot justice4mikebrown
0,guys supposed get ass sucked queer
0,welcome movement anyone gets even minor publicity queer fed jew well according internet
0,ape fuck u broke ass racist
0,like talking faggot nicely way fag
